Mtest4,false,1527501600658
SoundWindow0,70.95896421322381,1527501863864
SoundWindow1,61.19394936285294,1527501863867
seat2BOccupied,false,1527501864852
totalSeatCount,5,1527501864852
SoundCenter0,70.08524730350368,1527501866174
SoundCenter1,71.52251575741516,1527501866176
SoundCenter2,64.57063717220132,1527501866176
SoundWall0,69.222188808387,1527501866922
SoundWall1,71.0387520147314,1527501866931
SoundWall2,70.06580068781206,1527501866945
seat3BOccupied,true,1527501867852
totalSeatCount,6,1527501867852
SoundC,70.5390318503356,1527501869202
SoundC,70.5390318503356,1527501869202
Present,115,1527501869205
Present,115,1527501869205
sensor0_Temperature,26.48,1527501869949
sensor0_Humidity,43.37600140415982,1527501869950
sensor0_Brightness,67.0,1527501869950
sensor1_Temperature,24.25,1527501869951
sensor1_Humidity,44.36256044896643,1527501869951
sensor1_Brightness,53.0,1527501869952
Aircon0Power,On,1527501870333
SoundWindow0,71.32421733498828,1527501873864
